Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-frg1,Session ID,Event Type,Reason,Block Number,Phase Name,Rule File,Episode Number,Move Number,Actor,Position ID,Stimulus ID,Reward,Repeat,Human Score,Agent Score,Human Total Score,Agent Total Score,Rewards Remaining,Completed Episodes
1,1784148099897,15/07/2026 20:41:39,1784148099716,-5,15/07/2026 15:41:39,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,1,"Category 3, type 1",rules_category1.json,1,1,human,1,2948,,,0,0,0,0,10,
2,1784148100595,15/07/2026 20:41:40,1784148100467,-5,15/07/2026 15:41:40,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,1,"Category 3, type 1",rules_category1.json,1,1,agent,7,1191,1,,0,1,0,1,9,
3,1784148103904,15/07/2026 20:41:43,1784148103786,-5,15/07/2026 15:41:43,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,1,"Category 3, type 1",rules_category1.json,1,2,human,3,4053,1,,1,1,1,1,8,
4,1784148104576,15/07/2026 20:41:44,1784148104492,-5,15/07/2026 15:41:44,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,1,"Category 3, type 1",rules_category1.json,1,2,agent,5,3886,1,,1,2,1,2,7,
5,1784148106503,15/07/2026 20:41:46,1784148106401,-5,15/07/2026 15:41:46,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,1,"Category 3, type 1",rules_category1.json,1,3,human,6,372,,,1,2,1,2,7,
6,1784148107203,15/07/2026 20:41:47,1784148107104,-5,15/07/2026 15:41:47,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,1,"Category 3, type 1",rules_category1.json,1,3,agent,7,1191,,1,1,2,1,2,7,
7,1784148108929,15/07/2026 20:41:48,1784148108836,-5,15/07/2026 15:41:48,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,1,"Category 3, type 1",rules_category1.json,1,4,human,8,3763,,,1,2,1,2,7,
8,1784148109626,15/07/2026 20:41:49,1784148109541,-5,15/07/2026 15:41:49,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,1,"Category 3, type 1",rules_category1.json,1,4,agent,17,3340,1,,1,3,1,3,6,
9,1784148112978,15/07/2026 20:41:52,1784148112885,-5,15/07/2026 15:41:52,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,1,"Category 3, type 1",rules_category1.json,1,5,human,11,394,1,,2,3,2,3,5,
10,1784148113688,15/07/2026 20:41:53,1784148113588,-5,15/07/2026 15:41:53,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,1,"Category 3, type 1",rules_category1.json,1,5,agent,16,5531,1,,2,4,2,4,4,
